customer_id,first_name,last_name,date_of_birth,gender,join_date,primary_payment,income_bracket,is_active
CUST00081,Chad,Welch,1978-02-12,NB,2022-08-24,Mastercard,Low,1
CUST00082,Jeremy,Whitehead,1959-10-30,M,2022-06-26,Mastercard,Mid,1
CUST00083,Michele,Jones,1980-12-27,F,2023-04-20,Mastercard,High,1
CUST00084,John,Caldwell,1972-09-10,F,2024-05-29,Mastercard,High,1
CUST00085,Jason,Anderson,1991-09-03,M,2021-03-23,Cash,Mid,0
CUST00086,Selena,Duncan,1985-01-21,F,2023-10-08,Debit,High,1
CUST00087,Thomas,Mueller,1996-06-07,F,2022-09-16,Mastercard,Mid,0
CUST00088,Lindsey,Lee,1967-06-21,F,2021-06-06,Gift Card,High,1
CUST00089,Collin,Jordan,1982-03-26,F,2022-06-15,Debit,Mid,1
CUST00090,Rodney,Owens,1982-01-29,F,2020-10-22,Cash,Low,0
CUST00091,Jessica,Nunez,1999-09-10,M,2022-03-13,Visa,Low,0
CUST00092,Tracey,Garcia,1977-01-11,M,2020-12-27,Debit,High,1
CUST00093,Richard,Morgan,1958-11-29,M,2021-11-24,Cash,High,1
CUST00094,Michelle,Wright,2000-09-17,M,2022-08-15,Debit,Low,1
CUST00095,James,West,1979-10-30,M,2020-09-19,Debit,Mid,1
CUST00096,Robert,Ramirez,1987-09-05,M,2020-12-21,Debit,Mid,1
CUST00097,John,Leblanc,1968-09-22,F,2023-03-02,Visa,Low,1
CUST00098,Scott,Callahan,1983-05-23,M,2019-07-25,Debit,Mid,1
CUST00099,Andrea,Williams,1969-05-10,M,2020-07-15,Mastercard,Mid,0
CUST00100,Yvette,Huff,2002-01-15,F,2019-07-30,Cash,Mid,1
CUST00101,Tanya,House,1962-08-11,F,2020-06-01,Cash,High,1
CUST00102,Melinda,Martin,1962-10-23,F,2019-11-07,Mastercard,Mid,0
CUST00103,Todd,Lewis,1995-05-04,F,2022-05-26,Visa,High,1
CUST00104,Richard,Brown,1984-09-04,M,2023-10-28,Visa,Mid,1
CUST00105,Nicholas,Galloway,1966-11-26,F,2024-04-24,Debit,Mid,1
CUST00106,Joseph,Bowers,1964-09-25,M,2019-11-17,Mastercard,Mid,1
CUST00107,Spencer,Henderson,1983-05-14,M,2022-12-10,Cash,Low,1
CUST00108,Susan,Cowan,1975-10-01,M,2021-05-20,Mastercard,Low,1
CUST00109,Angela,Higgins,1963-05-09,F,2019-12-06,Debit,High,0
CUST00110,Eric,Phillips,2000-01-19,M,2022-11-11,Mastercard,Mid,1
CUST00111,Tanya,Riley,1961-07-30,M,2023-12-27,Mastercard,Mid,1
CUST00112,Amy,Adkins,1959-11-11,M,2023-04-16,Debit,Low,1
CUST00113,Brian,Silva,1997-09-03,NB,2024-02-20,Mastercard,Mid,1
CUST00114,Wesley,Farrell,2000-03-02,M,2020-12-13,Mastercard,Low,1
CUST00115,Eric,Yu,2002-06-14,M,2020-08-13,Debit,High,1
CUST00116,Christopher,Lopez,1980-08-23,F,2020-10-24,Mastercard,High,0
CUST00117,Brooke,Leonard,1999-06-13,F,2021-04-26,Mastercard,Mid,1
CUST00118,Joe,Wilson,1962-08-19,M,2020-02-21,Mastercard,Mid,0
CUST00119,Pamela,Sanchez,1960-08-03,F,2024-06-16,Visa,High,1
CUST00120,Brooke,Harvey,1994-08-09,F,2019-07-10,Mastercard,Low,0
CUST00121,Robert,Silva,1971-10-25,M,2021-10-17,Cash,High,1
CUST00122,Alexandra,Donovan,2000-05-13,M,2020-05-14,Visa,Low,1
CUST00123,James,Moran,1970-04-01,F,2023-11-05,Mastercard,High,1
CUST00124,John,Foster,1981-12-20,F,2023-08-08,Mastercard,High,1
CUST00125,Emily,Evans,1971-05-02,M,2021-07-03,Visa,Mid,1
CUST00126,Leslie,Walton,1986-11-14,F,2023-11-16,Mastercard,Mid,1
CUST00127,Charles,Ellis,1961-12-01,F,2020-10-13,Debit,High,1
CUST00128,Yolanda,Ferrell,1971-08-25,M,2021-10-11,Gift Card,High,1
CUST00129,Charles,Lewis,1997-07-02,M,2019-07-24,Visa,High,1
CUST00130,Joseph,Mahoney,1971-11-07,NB,2019-06-03,Visa,Mid,1
CUST00131,Nicole,Suarez,1987-06-24,F,2023-10-12,Debit,High,1
CUST00132,Mike,Moore,2001-10-11,F,2023-11-22,Visa,Low,1
CUST00133,Martha,Warner,1978-05-30,NB,2023-03-10,Mastercard,High,1
CUST00134,Cheryl,Archer,1972-12-04,M,2022-11-22,Mastercard,Mid,1
CUST00135,Destiny,Smith,1996-08-21,M,2019-10-26,Mastercard,Mid,1
CUST00136,Lisa,Evans,1992-04-27,F,2022-06-23,Debit,Mid,1
CUST00137,Elizabeth,Mcmillan,1999-03-26,F,2020-06-06,Debit,Mid,1
CUST00138,Dennis,Wilson,1964-08-17,NB,2021-06-23,Cash,Mid,0
CUST00139,Daniel,Tran,1998-12-26,NB,2023-09-28,Mastercard,High,1
CUST00140,Joseph,Jacobs,1990-03-16,F,2022-03-23,Mastercard,Low,0
CUST00141,Jennifer,Harris,1958-09-23,F,2022-03-05,Cash,High,0
CUST00142,Cynthia,Baker,1983-09-05,F,2023-05-08,Debit,Mid,1
CUST00143,Tracy,Whitehead,1970-04-09,F,2022-07-10,Mastercard,Low,1
CUST00144,Meghan,Davis,1990-09-25,F,2023-02-08,Mastercard,Mid,1
CUST00145,Rodney,Hill,1990-10-28,M,2021-12-23,Visa,Low,0
CUST00146,Adam,Wise,1984-06-24,F,2023-03-09,Cash,Mid,1
CUST00147,Dana,Green,1978-03-29,F,2023-10-28,Debit,Mid,0
CUST00148,Joyce,Arnold,1966-02-07,M,2023-06-08,Mastercard,Low,1
CUST00149,Ronald,Smith,1981-07-09,F,2022-04-12,Mastercard,Mid,1
CUST00150,Charles,Ware,1987-06-06,F,2024-02-18,Visa,Mid,1
CUST00151,Rebecca,Gardner,1994-08-19,NB,2019-08-27,Mastercard,Mid,1
CUST00152,Mary,Aguilar,1970-03-04,F,2021-03-06,Visa,High,0
CUST00153,Earl,Anderson,1971-11-12,M,2023-12-19,Mastercard,Mid,1
CUST00154,Kyle,Nolan,1960-12-08,M,2022-11-14,Mastercard,High,0
CUST00155,Laura,Valencia,1990-12-15,F,2022-01-20,Cash,Low,1
CUST00156,Rachel,Clark,1998-10-18,F,2019-07-07,Debit,Mid,1
CUST00157,John,Garcia,1979-11-08,M,2019-09-15,Debit,High,1
CUST00158,Kimberly,Henson,1978-11-26,F,2020-11-03,Debit,Mid,1
CUST00159,Richard,Oliver,1969-08-30,M,2022-01-11,Mastercard,Mid,1
CUST00160,Eric,Spears,1979-05-07,M,2022-04-20,Mastercard,Low,1
CUST00161,Michelle,Cherry,1963-09-14,M,2021-09-02,Mastercard,Mid,1
CUST00162,Lisa,Keith,1961-11-21,F,2023-01-29,Debit,Mid,1
CUST00163,Angel,Doyle,1963-06-17,M,2021-09-07,Debit,Low,1
CUST00164,Martin,Galvan,1965-04-01,M,2020-10-21,Visa,Mid,1
CUST00165,Leah,Shields,1987-03-05,F,2021-02-19,Gift Card,Mid,1
CUST00166,Lisa,Adams,1968-04-07,F,2023-10-13,Debit,Mid,0
CUST00167,Kristin,Rodriguez,1978-07-02,M,2021-04-27,Mastercard,Mid,1
CUST00168,Monica,Garrison,1980-11-13,F,2021-02-05,Gift Card,Mid,1
CUST00169,Jeffrey,Velasquez,1996-09-29,M,2019-07-17,Debit,Low,1
CUST00170,Steven,Torres,1987-07-29,M,2022-10-04,Mastercard,Mid,1
CUST00171,Laura,Perez,1962-08-13,M,2024-06-06,Mastercard,Low,1
CUST00172,Andrew,Lee,2001-04-05,M,2020-04-04,Debit,Mid,1
CUST00173,Mark,Lin,1978-04-16,F,2023-07-12,Mastercard,High,1
CUST00174,Tammy,Ramirez,1960-05-10,F,2022-06-01,Cash,Mid,1
CUST00175,Darlene,Ross,1985-09-20,M,2024-03-02,Mastercard,High,1
CUST00176,Tina,Herrera,1970-09-23,M,2023-02-26,Visa,High,1
CUST00177,Sheila,Wilson,1988-08-01,F,2019-11-19,Mastercard,High,1
CUST00178,Tara,White,1962-09-20,F,2019-11-15,Mastercard,Mid,1
CUST00179,Sydney,Baker,2001-07-28,M,2022-05-28,Mastercard,High,1
CUST00180,Daniel,Hamilton,1983-05-31,F,2022-10-20,Debit,Mid,1
CUST00181,Jessica,Edwards,1962-12-01,NB,2019-01-16,Mastercard,High,1
CUST00182,Catherine,Dixon,1968-10-06,M,2019-01-16,Visa,Low,1
CUST00183,Paul,Ray,1989-10-10,F,2019-05-28,Mastercard,Mid,1
CUST00184,Jonathan,Fletcher,1986-02-01,M,2022-03-25,Mastercard,Mid,1
CUST00185,Aaron,Frost,1987-02-20,F,2019-12-18,Debit,High,0
CUST00186,Amanda,Ball,1967-07-01,M,2020-05-13,Mastercard,Low,0
CUST00187,Judy,Lambert,1977-11-17,M,2020-11-13,Debit,Mid,1
CUST00188,Michael,Jones,1989-05-06,F,2020-12-20,Debit,High,1
CUST00189,Elizabeth,Rivera,1975-09-13,F,2019-12-22,Visa,Mid,1
CUST00190,Lee,Charles,2002-05-01,F,2021-08-08,Debit,Mid,0
CUST00191,Jennifer,Evans,1986-12-30,M,2023-11-05,Gift Card,Mid,1
CUST00192,Kyle,Ortiz,1982-08-23,F,2022-04-26,Mastercard,Mid,1
CUST00193,Richard,Phillips,1983-10-03,NB,2019-06-07,Visa,Low,1
CUST00194,David,Fisher,1961-09-06,F,2021-07-10,Cash,Low,1
CUST00195,Shelby,Byrd,1963-07-21,F,2021-07-11,Mastercard,Mid,1
CUST00196,Raven,Gilbert,1973-06-25,M,2019-03-22,Mastercard,Mid,1
CUST00197,Kevin,Kelley,1991-06-14,M,2024-02-23,Mastercard,Mid,1
CUST00198,Aaron,Mitchell,1988-01-09,F,2019-05-15,Mastercard,Mid,1
CUST00199,Russell,Carpenter,1971-06-29,F,2020-11-13,Mastercard,High,1
CUST00200,Diana,Marshall,1993-03-01,F,2019-09-22,Visa,Mid,1
CUST00201,Scott,Lewis,1969-06-19,NB,2022-10-04,Debit,High,0
CUST00202,Thomas,Santana,1995-12-27,M,2021-11-07,Mastercard,Low,1
CUST00203,Laura,Jackson,2001-08-17,M,2020-01-29,Mastercard,Low,0
CUST00204,Christopher,Robertson,1961-05-21,F,2022-09-17,Mastercard,Low,1
CUST00205,Cynthia,Rogers,1972-11-07,M,2023-01-16,Mastercard,Mid,1
CUST00206,Loretta,Potter,1983-07-25,M,2023-03-21,Debit,Mid,1
CUST00207,Emily,Walker,2000-01-29,M,2024-01-26,Debit,High,0
CUST00208,James,Johnson,1983-04-13,F,2023-05-13,Mastercard,High,1
CUST00209,John,Alvarez,1970-06-02,F,2023-11-23,Mastercard,High,1
CUST00210,Melissa,Jones,1969-03-09,M,2020-08-06,Mastercard,Mid,1
CUST00211,Robert,Soto,1966-03-25,F,2024-04-22,Cash,High,0
CUST00212,James,Horton,1993-07-27,M,2021-10-25,Mastercard,Low,1
CUST00213,Troy,Sanchez,1966-11-21,M,2023-09-15,Debit,Low,1
CUST00214,Diana,Smith,2000-05-21,F,2022-11-26,Debit,Mid,1
CUST00215,Karen,Carrillo,1959-09-15,M,2020-06-08,Mastercard,High,1
CUST00216,Daniel,Coleman,1983-11-06,M,2020-05-01,Mastercard,Mid,1
CUST00217,Gregory,Rubio,1967-12-12,F,2023-09-10,Cash,Low,1
CUST00218,April,Williams,1970-11-18,F,2020-08-19,Mastercard,Low,1
CUST00219,John,Charles,1965-09-06,M,2021-12-08,Gift Card,Mid,1
CUST00220,Stephen,Solis,1959-10-29,M,2021-03-10,Cash,Mid,1
CUST00221,Elizabeth,Travis,1990-01-14,M,2023-06-03,Mastercard,Mid,1
CUST00222,Caitlin,Dodson,1987-10-31,F,2019-10-01,Mastercard,High,1
CUST00223,Patricia,Salazar,1999-09-07,M,2022-11-25,Visa,Low,1
CUST00224,Jennifer,Wagner,1961-04-26,F,2020-08-23,Mastercard,High,1
CUST00225,Maria,Kelley,1993-09-23,M,2023-07-28,Visa,High,1
CUST00226,Phyllis,Manning,1962-04-16,M,2023-11-09,Debit,High,1
CUST00227,Thomas,Green,1997-06-14,M,2024-01-07,Gift Card,Low,1
CUST00228,John,Walsh,1981-12-05,M,2023-06-29,Mastercard,Mid,0
CUST00229,Katie,Boyd,1984-05-10,M,2020-10-19,Mastercard,Mid,1
CUST00230,Courtney,Hill,1972-12-13,M,2022-11-13,Mastercard,High,0
CUST00231,Chris,Mitchell,1997-01-08,F,2020-07-16,Visa,Low,1
CUST00232,Joseph,Flores,1972-05-09,F,2024-05-05,Mastercard,Mid,1
CUST00233,Amber,Taylor,1979-03-05,M,2023-05-14,Visa,High,1
CUST00234,Jesse,Benson,1998-05-14,M,2024-04-27,Mastercard,Low,1
CUST00235,Jasmine,Brown,1986-03-16,NB,2022-08-23,Mastercard,Low,1
CUST00236,Rick,Daniels,1968-07-25,F,2020-06-20,Debit,Low,1
CUST00237,Robert,Clark,2002-01-25,F,2020-02-14,Mastercard,Mid,0
CUST00238,Robert,Stein,1965-11-16,F,2023-07-18,Debit,Mid,1
CUST00239,Brandy,Dominguez,1984-01-19,M,2023-12-31,Mastercard,High,1
CUST00240,Melissa,Cannon,1990-06-07,NB,2021-11-07,Mastercard,High,1
CUST00241,Omar,Smith,1990-05-18,M,2022-02-08,Visa,High,1
CUST00242,Michael,Molina,1963-11-25,F,2020-09-25,Mastercard,Mid,1
CUST00243,Melissa,Ashley,1964-08-13,F,2019-09-14,Gift Card,Mid,1
CUST00244,Robert,Adkins,1974-04-29,M,2023-04-22,Gift Card,High,1
CUST00245,Amy,Morrison,1971-09-24,M,2020-09-14,Mastercard,High,1
CUST00246,Jeffrey,Robinson,1983-06-26,M,2023-09-29,Mastercard,High,1
CUST00247,Ryan,Johnson,1966-05-20,F,2021-10-26,Visa,Mid,1
CUST00248,Matthew,Shelton,1988-04-16,M,2023-09-22,Cash,High,1
CUST00249,Richard,Martin,1981-09-29,F,2022-08-26,Mastercard,Mid,1
CUST00250,Tanner,Anderson,1983-12-27,F,2022-08-07,Gift Card,High,1
CUST00251,Cindy,Johnson,1964-07-19,M,2022-11-11,Mastercard,Mid,1
CUST00252,Phillip,Elliott,1986-01-16,F,2023-10-31,Debit,High,0
CUST00253,Anthony,Day,1991-03-30,M,2021-11-20,Visa,Mid,1
CUST00254,Derek,Murray,1966-09-08,M,2019-04-14,Mastercard,Mid,1
CUST00255,Brent,Gray,1972-04-30,F,2023-07-25,Mastercard,Mid,1
CUST00256,Jason,Murphy,1999-11-18,F,2021-10-18,Cash,Low,1
CUST00257,Kathleen,Gray,1979-08-07,M,2020-03-16,Visa,Mid,1
CUST00258,Karen,Decker,2000-03-21,F,2020-08-08,Visa,Mid,0
CUST00259,Johnny,Miller,1994-03-06,M,2021-01-19,Mastercard,Mid,1
CUST00260,Andrew,Ryan,1992-08-29,F,2021-10-29,Visa,High,1
CUST00261,Zoe,Bell,1969-07-18,M,2024-06-19,Mastercard,High,1
CUST00262,Debra,Harrington,1970-12-11,M,2020-02-12,Visa,Low,1
CUST00263,Denise,Webster,2000-07-02,F,2021-11-29,Visa,Mid,1
CUST00264,Stefanie,Gonzalez,1972-07-30,F,2021-03-15,Gift Card,Mid,1
CUST00265,Andrew,Hernandez,2001-12-12,F,2022-12-22,Visa,Low,1
CUST00266,David,Caldwell,1995-05-16,F,2022-04-10,Mastercard,High,1
CUST00267,Anne,Robinson,1981-10-27,NB,2024-06-03,Debit,Mid,1
CUST00268,Holly,Wang,2001-02-07,F,2019-12-16,Visa,High,1
CUST00269,Gary,Lawson,1979-09-24,F,2019-03-06,Visa,Low,1
CUST00270,Julie,Wilson,1995-01-18,F,2022-11-15,Mastercard,Mid,1
CUST00271,Lori,Oconnell,1963-08-03,M,2022-12-16,Mastercard,Mid,1
CUST00272,Daniel,Johnson,1986-02-24,F,2024-05-13,Mastercard,Mid,1
CUST00273,Larry,Byrd,1981-09-19,NB,2022-06-03,Visa,Mid,1
CUST00274,Susan,Sanders,1984-09-13,M,2023-04-29,Mastercard,High,1
CUST00275,Jennifer,Jones,1982-07-14,F,2020-08-12,Mastercard,Mid,0
CUST00276,Hannah,Burton,1971-02-21,NB,2020-08-17,Mastercard,Low,0
CUST00277,Curtis,Barton,2000-12-24,F,2020-03-14,Mastercard,High,1
CUST00278,Melissa,Burke,1979-06-20,F,2020-05-11,Mastercard,Low,1
CUST00279,David,Riggs,1987-08-20,F,2023-01-09,Visa,Low,0
CUST00280,Kimberly,Reed,1972-03-03,F,2021-04-13,Debit,Mid,1
CUST00281,Ross,Wood,1983-10-09,M,2020-10-19,Mastercard,High,1
CUST00282,William,Peterson,1961-05-07,M,2024-02-14,Cash,High,0
CUST00283,Melissa,Short,1993-08-13,F,2023-06-02,Visa,High,0
CUST00284,Daniel,Yu,1958-10-31,M,2020-09-03,Visa,High,1
CUST00285,Cynthia,Poole,2002-04-24,F,2023-12-27,Cash,Mid,1
CUST00286,Jasmine,Graham,1972-07-30,M,2023-02-06,Visa,Low,1
CUST00287,Jessica,Sheppard,1975-05-01,F,2019-12-26,Visa,Mid,1
CUST00288,Joseph,Morton,1993-12-17,NB,2022-10-02,Mastercard,Mid,0
CUST00289,Amanda,Webb,1992-05-30,M,2020-04-27,Mastercard,Mid,1
CUST00290,Ryan,Simon,1981-06-19,M,2022-08-31,Mastercard,Mid,1
CUST00291,Joseph,Christian,1985-11-25,F,2022-11-14,Mastercard,Mid,1
CUST00292,Mariah,Miller,1969-12-25,F,2021-09-06,Mastercard,Mid,1
CUST00293,Nicole,Sanchez,2000-03-29,F,2023-04-01,Visa,Low,1
CUST00294,Steven,Bishop,1965-05-06,F,2021-12-12,Mastercard,Low,1
CUST00295,Nicholas,Johnson,1976-02-20,M,2022-03-18,Visa,High,1
CUST00296,Melissa,White,2001-11-08,M,2019-07-06,Cash,Low,1
CUST00297,Jason,Salinas,1963-03-07,F,2022-02-18,Visa,High,1
CUST00298,Matthew,Beard,1977-07-20,M,2022-03-30,Mastercard,High,1
CUST00299,Jacqueline,Hill,1964-03-11,M,2024-03-27,Visa,Low,1
CUST00300,Alejandro,Vaughan,1995-09-18,M,2021-02-05,Gift Card,High,0
CUST00301,Christopher,Cortez,1969-12-06,M,2022-08-31,Cash,High,1
CUST00302,Tracy,Chang,1977-12-24,M,2023-09-06,Mastercard,Mid,1
CUST00303,Hannah,Brewer,1992-01-11,M,2023-08-14,Mastercard,Low,1
CUST00304,Travis,Mcguire,1968-02-15,M,2019-03-07,Debit,High,0
CUST00305,Christopher,Walker,1976-06-27,M,2019-05-18,Mastercard,Mid,1
CUST00306,Heather,Torres,1961-12-20,F,2021-04-03,Mastercard,High,1
CUST00307,Bonnie,Kennedy,1983-12-14,F,2020-04-24,Debit,Mid,1
CUST00308,Alyssa,Coleman,1986-10-08,M,2020-04-30,Mastercard,Mid,1
CUST00309,Julie,Rivera,1963-06-21,F,2022-02-14,Cash,High,1
CUST00310,Jacqueline,Nelson,2002-06-19,NB,2019-04-07,Gift Card,Mid,1
CUST00311,John,Martinez,1995-05-09,M,2021-04-16,Mastercard,High,1
CUST00312,James,Wilson,1984-12-24,F,2023-10-23,Debit,High,1
CUST00313,Amanda,Gill,1970-01-11,M,2021-03-06,Mastercard,Mid,0
CUST00314,Jacob,Robinson,1966-04-18,M,2022-01-01,Debit,Mid,1
CUST00315,Todd,Hardy,1964-07-12,F,2020-01-21,Debit,Mid,1
CUST00316,Tiffany,Warren,1987-11-15,M,2020-09-12,Gift Card,High,0
CUST00317,Justin,Garcia,2000-12-19,F,2024-02-16,Mastercard,Low,0
CUST00318,James,Perez,1983-05-25,F,2021-02-18,Visa,Mid,1
CUST00319,Harry,Smith,1999-10-23,F,2019-07-21,Debit,High,1
CUST00320,Amanda,Hill,1986-01-27,F,2021-04-27,Mastercard,High,1
CUST00321,Terri,Tran,1995-06-19,M,2020-08-27,Mastercard,Mid,0
CUST00322,Heidi,Martinez,1988-04-14,F,2020-06-11,Debit,High,1
CUST00323,Miranda,Henry,1989-08-06,F,2019-12-13,Mastercard,Low,0
CUST00324,Monique,Andrews,1963-04-09,F,2021-12-09,Mastercard,High,1
CUST00325,Taylor,Alexander,1994-12-31,M,2019-10-09,Debit,High,1
CUST00326,Jack,Williams,1991-06-26,F,2019-05-04,Visa,Mid,1
CUST00327,Shelley,Woods,1958-08-05,M,2021-12-25,Visa,Mid,1
CUST00328,Lynn,Morales,1959-07-16,F,2021-10-25,Debit,High,0
CUST00329,Charles,Soto,1966-08-23,M,2021-12-09,Mastercard,Mid,1
CUST00330,Brian,Hernandez,1993-08-10,M,2019-06-11,Mastercard,Mid,0
CUST00331,Anna,Torres,1965-03-26,F,2022-08-31,Gift Card,Low,1
CUST00332,Victoria,Wilson,2000-09-14,F,2019-04-25,Visa,Low,0
CUST00333,Kathy,Obrien,1987-09-21,NB,2022-03-04,Gift Card,High,0
CUST00334,Krystal,Perez,2000-08-29,M,2020-07-09,Mastercard,High,0
CUST00335,Alexandra,Hayes,1960-12-14,M,2020-01-03,Cash,High,1
